0.000	15.144	15.130	15.189	25.070	25.068	28.746	10.931	24.465	19.519	20.074
0.004	15.147	15.132	15.195	25.088	25.072	28.789	10.954	24.466	19.519	20.073
0.008	15.147	15.119	15.191	25.058	25.006	28.781	10.982	24.467	19.519	20.072
0.013	15.151	15.126	15.192	25.090	25.016	28.801	10.980	24.468	19.519	20.071
0.017	15.150	15.121	15.192	25.112	25.003	28.798	10.953	24.469	19.519	20.070
0.021	15.150	15.124	15.189	25.114	25.001	28.775	10.968	24.470	19.519	20.070
0.025	15.151	15.132	15.195	25.115	25.064	28.796	10.970	24.471	19.519	20.069
0.029	15.149	15.125	15.198	25.052	25.047	28.808	10.985	24.472	19.519	20.068
0.033	15.159	15.132	15.194	25.052	25.163	28.795	11.000	24.473	19.519	20.067
0.037	15.149	15.129	15.194	24.980	25.132	28.767	11.000	24.474	19.518	20.067
0.042	15.150	15.128	15.192	25.005	25.135	28.740	10.964	24.475	19.518	20.066
0.046	15.152	15.129	15.190	25.086	25.159	28.755	10.965	24.476	19.518	20.065
0.050	15.142	15.131	15.191	25.051	25.065	28.754	10.943	24.477	19.518	20.064
0.054	15.152	15.127	15.193	25.134	25.101	28.778	10.916	24.478	19.518	20.064
0.058	15.147	15.129	15.189	25.106	25.072	28.782	10.924	24.479	19.518	20.063
0.062	15.148	15.131	15.192	25.091	25.066	28.796	10.932	24.480	19.518	20.062
0.067	15.155	15.129	15.192	25.127	25.078	28.807	10.964	24.481	19.518	20.061
0.071	15.147	15.135	15.189	25.122	25.066	28.793	10.964	24.482	19.518	20.061
0.075	15.151	15.127	15.190	25.155	25.042	28.781	10.940	24.483	19.518	20.060
0.079	15.150	15.126	15.186	25.125	25.024	28.728	10.904	24.484	19.518	20.059
0.083	15.150	15.127	15.188	25.110	25.070	28.722	10.867	24.485	19.518	20.058
0.088	15.152	15.123	15.191	25.053	25.061	28.693	10.854	24.486	19.518	20.057
0.092	15.153	15.126	15.188	25.054	25.074	28.690	10.849	24.488	19.519	20.057
0.096	15.150	15.124	15.189	25.050	25.085	28.735	10.875	24.489	19.519	20.056
0.100	15.148	15.115	15.186	25.039	24.977	28.740	10.931	24.490	19.520	20.055
0.104	15.151	15.116	15.181	25.071	24.999	28.770	10.934	24.492	19.520	20.054
0.108	15.150	15.119	15.186	25.069	25.010	28.807	10.976	24.493	19.521	20.054
0.112	15.151	15.120	15.185	25.074	25.008	28.766	10.951	24.495	19.521	20.053
0.117	15.154	15.125	15.185	25.106	25.075	28.750	10.915	24.496	19.522	20.052
0.121	15.151	15.127	15.191	25.154	25.068	28.768	10.898	24.498	19.522	20.051
0.125	15.154	15.120	15.183	25.159	25.051	28.733	10.876	24.499	19.523	20.051
0.129	15.151	15.123	15.187	25.127	25.055	28.790	10.888	24.501	19.523	20.050
0.133	15.150	15.119	15.185	25.125	25.046	28.799	10.901	24.502	19.524	20.049
0.138	15.147	15.115	15.181	25.046	25.046	28.765	10.897	24.504	19.524	20.048
0.142	15.149	15.120	15.185	25.043	25.093	28.772	10.911	24.505	19.525	20.048
0.146	15.150	15.117	15.183	25.081	25.077	28.750	10.913	24.506	19.525	20.047
0.150	15.153	15.125	15.185	25.068	25.096	28.761	10.920	24.508	19.526	20.046
0.154	15.154	15.124	15.188	25.070	25.098	28.789	10.964	24.509	19.526	20.045
0.158	15.154	15.129	15.190	25.046	25.112	28.816	10.981	24.511	19.527	20.045
0.163	15.158	15.131	15.197	25.044	25.127	28.826	11.009	24.512	19.527	20.044
0.167	15.161	15.133	15.194	25.049	25.110	28.824	11.027	24.514	19.527	20.043
0.171	15.155	15.136	15.194	25.070	25.107	28.805	10.998	24.515	19.528	20.043
0.175	15.152	15.132	15.190	25.076	25.031	28.758	10.965	24.517	19.528	20.044
0.179	15.151	15.131	15.192	25.077	25.038	28.734	10.951	24.519	19.528	20.044
0.183	15.147	15.131	15.193	25.058	25.063	28.720	10.897	24.520	19.528	20.045
